rime_group,initial,base,tone1,tone2,tone3,tone4,tone5,tone7,tone8,tone9,tone1_num,tone2_num,tone3_num,tone4_num,tone5_num,tone7_num,tone8_num,tone9_num
a,,a,a,á,à,,â,ā,,a̋,a1,a2,a3,,a5,a7,,a9
a,b,ba,ba,bá,bà,,bâ,bā,,ba̋,ba1,ba2,ba3,,ba5,ba7,,ba9
a,g,ga,ga,gá,gà,,gâ,gā,,ga̋,ga1,ga2,ga3,,ga5,ga7,,ga9
a,h,ha,ha,há,hà,,hâ,hā,,ha̋,ha1,ha2,ha3,,ha5,ha7,,ha9
a,j,ja,ja,já,jà,,jâ,jā,,ja̋,ja1,ja2,ja3,,ja5,ja7,,ja9
a,k,ka,ka,ká,kà,,kâ,kā,,ka̋,ka1,ka2,ka3,,ka5,ka7,,ka9
a,kh,kha,kha,khá,khà,,khâ,khā,,kha̋,kha1,kha2,kha3,,kha5,kha7,,kha9
a,l,la,la,lá,là,,lâ,lā,,la̋,la1,la2,la3,,la5,la7,,la9
a,m,ma,ma,má,mà,,mâ,mā,,ma̋,ma1,ma2,ma3,,ma5,ma7,,ma9
a,n,na,na,ná,nà,,nâ,nā,,na̋,na1,na2,na3,,na5,na7,,na9
a,ng,nga,nga,ngá,ngà,,ngâ,ngā,,nga̋,nga1,nga2,nga3,,nga5,nga7,,nga9
a,p,pa,pa,pá,pà,,pâ,pā,,pa̋,pa1,pa2,pa3,,pa5,pa7,,pa9
a,ph,pha,pha,phá,phà,,phâ,phā,,pha̋,pha1,pha2,pha3,,pha5,pha7,,pha9
a,s,sa,sa,sá,sà,,sâ,sā,,sa̋,sa1,sa2,sa3,,sa5,sa7,,sa9
a,t,ta,ta,tá,tà,,tâ,tā,,ta̋,ta1,ta2,ta3,,ta5,ta7,,ta9
a,th,tha,tha,thá,thà,,thâ,thā,,tha̋,tha1,tha2,tha3,,tha5,tha7,,tha9
a,ts,tsa,tsa,tsá,tsà,,tsâ,tsā,,tsa̋,tsa1,tsa2,tsa3,,tsa5,tsa7,,tsa9
a,tsh,tsha,tsha,tshá,tshà,,tshâ,tshā,,tsha̋,tsha1,tsha2,tsha3,,tsha5,tsha7,,tsha9
ah,,ah,ah,áh,àh,ah,âh,āh,a̍h,a̋h,ah1,ah2,ah3,ah4,ah5,ah7,ah8,ah9
ah,b,bah,bah,báh,bàh,bah,bâh,bāh,ba̍h,ba̋h,bah1,bah2,bah3,bah4,bah5,bah7,bah8,bah9
ah,g,gah,gah,gáh,gàh,gah,gâh,gāh,ga̍h,ga̋h,gah1,gah2,gah3,gah4,gah5,gah7,gah8,gah9
ah,h,hah,hah,háh,hàh,hah,hâh,hāh,ha̍h,ha̋h,hah1,hah2,hah3,hah4,hah5,hah7,hah8,hah9
ah,j,jah,jah,jáh,jàh,jah,jâh,jāh,ja̍h,ja̋h,jah1,jah2,jah3,jah4,jah5,jah7,jah8,jah9
ah,k,kah,kah,káh,kàh,kah,kâh,kāh,ka̍h,ka̋h,kah1,kah2,kah3,kah4,kah5,kah7,kah8,kah9
